rank,year,school,overall,peer_assess,judges_assess,gpa25,gpa75,lsat25,lsat75,pct_emp_grad,pct_emp_9,accept,sf_ratio,bar_pass_pct,pass_rate,mid_gpa,mid_lsat
94,2016,Lewis and Clark College,41,2.4,3,3,3.58,155,161,32,66,67,10.3,81.2,80,3.29,158
94,2016,Louisiana State University - Baton Rouge,41,2.2,2.8,2.96,3.53,153,158,45.9,80.7,62,16.4,73.4,58,3.245,155.5
94,2016,Michigan State University,41,2.3,2.9,3.25,3.73,150,158,29.2,56.8,43,12.7,81.1,69,3.49,154
94,2016,Santa Clara University,41,2.4,3.1,3.04,3.47,156,160,25.5,56.2,50,10.6,71.9,65,3.255,158
94,2016,University of Louisville,41,2.1,2.9,3.17,3.62,150,157,46.9,80.5,70,12.7,80.2,81,3.395,153.5
94,2016,University of Mississippi,41,2.2,2.7,3.2,3.66,151,156,27.9,72.1,44,10.8,90.8,85,3.43,153.5
94,2016,University of South Carolina,41,2.3,2.8,2.95,3.54,152,157,38.7,75.6,57,13.4,84.7,80,3.245,154.5
94,2016,West Virginia University,41,2.1,2.7,3.09,3.7,152,156,33.1,73.1,54,9.3,76.9,76,3.395,154
102,2016,Florida International University,40,1.7,1.9,3.11,3.76,151,158,47.17826,77.1,27,10.7,84.8,78,3.435,154.5
102,2016,Indiana University - Indianapolis,40,2.4,3.1,3.02,3.57,148,155,41.6,70.8,74,14.5,81.8,83,3.295,151.5
102,2016,Rutgers University - Camden,40,2.4,2.9,2.82,3.48,152,158,52.5,65.6,42,9.3,83.8,79,3.15,155
105,2016,Marquette University,39,2.3,3,3.12,3.52,149,155,38.3,72.3,73,14.4,100,88,3.32,152
105,2016,Stetson University,39,2.1,2.7,2.97,3.53,152,157,39.75556,70.7,51,14.3,89.2,78,3.25,154.5
105,2016,Wayne State University,39,1.9,2.6,2.99,3.52,152,160,27.6,62.1,49,9.9,78.4,69,3.255,156
108,2016,The Catholic University of America,38,2.1,2.9,2.87,3.35,151,157,46.6,68.5,55,8.8,79.2,80,3.11,154
108,2016,University of Wyoming,38,2,2.7,3.1,3.59,149,155,52.6,77.6,52,11.2,85,84,3.345,152
110,2016,Gonzaga University,37,2,2.9,3.02,3.55,151,155,29.2,72,67,14.9,92.6,82,3.285,153
110,2016,Howard University,37,2.3,2.8,2.95,3.48,148,155,47.8,65.9,41,10.3,67.5,76,3.215,151.5
110,2016,University of Maine,37,2.2,2.8,3.2,3.57,149,157,41.7,60.4,56,9.4,87.5,81,3.385,153
113,2016,Creighton University,36,1.9,2.9,2.91,3.61,148,154,40,69.6,72,12.5,73.5,77,3.26,151
113,2016,CUNY,36,2,2.5,2.97,3.63,151,158,28.075,55.8,40,6.6,79.2,76,3.3,154.5
113,2016,Drake University,36,1.9,2.8,2.97,3.53,148,158,29.7,74.6,78,11,94.5,93,3.25,153
113,2016,Seattle University,36,2.2,3,3.06,3.49,151,157,28.075,54.7,61,12.1,82.2,82,3.275,154
113,2016,University of Montana,36,1.9,2.4,3.06,3.7,151,158,45.7,72.8,57,15,85.9,89,3.38,154.5
118,2016,Duquesne University,35,1.7,2.7,3.13,3.66,150,155,33.7,67.8,58,14.8,82.2,81,3.395,152.5
118,2016,Mercer University,35,2,2.6,3.05,3.5,147,155,31.2,72,61,14.5,86.8,85,3.275,151
118,2016,Texas Tech University,35,1.8,2.6,3.17,3.65,151,157,28.2,71,57,14.7,86.9,85,3.41,154
118,2016,Willamette University,35,2,2.8,2.99,3.47,149,155,25.2,74.8,72,8.2,80.6,80,3.23,152
122,2016,DePaul University,34,2.2,2.8,2.98,3.56,148,155,24.3,58.5,65,13.1,87.3,88,3.27,151.5
122,2016,Hofstra University,34,2.1,2.8,3.03,3.55,147,155,32.58,65.1,61,14.8,82.6,76,3.29,151
122,2016,University of Baltimore,34,2,2.6,2.86,3.56,148,154,47.3,67.8,59,12.2,84.9,80,3.21,151
122,2016,Vermont Law School,34,2,2.7,2.9,3.52,146,156,29,65.5,74,10.4,66.7,76,3.21,151
122,2016,Washburn University,34,1.8,2.5,2.96,3.63,148,156,26.5,72.8,64,9.6,86.3,89,3.295,152
127,2016,Chapman University,33,1.8,2.4,3.17,3.56,153,158,21.5,45.7,52,9.1,75.7,65,3.365,155.5
127,2016,Cleveland State University ,33,1.7,2.5,2.99,3.54,151,156,28.3,67.9,55,10,91.1,86,3.265,153.5
127,2016,Drexel University,33,2,2.5,3.05,3.49,151,156,29.7,60.1,50,10.5,80.2,81,3.27,153.5
127,2016,New York Law School,33,1.8,2.6,2.8,3.5,148,154,31.7,58.4,56,12.5,82.4,76,3.15,151
127,2016,Quinnipiac University,33,1.9,2.1,3,3.57,150,155,23.6,62.2,56,10.6,82.2,81,3.285,152.5
127,2016,University of Akron,33,1.7,2.3,2.93,3.68,147,155,28.9,64.5,65,10.7,83.8,86,3.305,151
127,2016,University of Idaho,33,2,2.6,2.75,3.52,147,154,32.58,73.5,61,11.1,81.1,83,3.135,150.5
127,2016,University of Missouri - Kansas City,33,2.2,2.6,2.96,3.54,150,154,28.0875,60.8,55,12.8,91.7,90,3.25,152
135,2016,Loyola University New Orleans,32,2.1,2.9,2.84,3.47,150,157,18,58.2,58,10.9,64.9,58,3.155,153.5
135,2016,University of Arkansas - Little Rock,32,2.1,2.7,3,3.59,146,155,16.6,62.9,66,15.2,69.8,76,3.295,150.5
135,2016,University of St. Thomas,32,1.8,2.5,3.17,3.61,150,158,21.5,62.7,73,13.5,87.1,90,3.39,154
