"overall","peer_assess","judges_assess","gpa25","gpa75","lsat25","lsat75","pct_emp_grad","pct_emp_9","accept","sf_ratio","bar_pass_pct","zpeer_assess","zjudges_assess","zgpa25","zgpa75","zlsat25","zlsat75","zpct_emp_grad","zpct_emp_9","zaccept","zsf_ratio","zbar_pass_pct","school","rank","tier","year"
83,4.4,4.6,3.57,3.83,165,169,76.9,84.5,27,13,94.3,2.24399154763927,2.30661216593008,1.69741274184771,1.22452697509401,1.91654033228777,1.65091141895894,1.71932861676375,1.18136465676978,-1.32529466313507,0.44027756152922,1.00881858234164,"University of Michigan - Ann Arbor",11,"Top",2016
81,4.1,4.4,3.53,3.83,162,170,82.4,90.8,25,7.2,95.4,1.85901396607706,1.99183806272585,1.51706075935991,1.22452697509401,1.37155256007324,1.84559436930787,2.01508160909658,1.76023977053268,-1.45597917288864,-1.86096292228226,1.14430376740118,"Northwestern University",12,"Top",2016
79,4.2,4.3,3.55,3.76,166,169,87.6,89.6,30,10.5,94.4,1.98733982659779,1.83445101112373,1.60723675060381,0.71176393467578,2.09820292302595,1.65091141895894,2.29470262002944,1.64997784410165,-1.12926789850472,-0.55163644011366,1.02113541734706,"Cornell University",13,"Top",2016
78,4.1,4.4,3.48,3.84,163,168,85.3,89.8,29,12.6,92.3,1.85901396607706,1.99183806272585,1.29162078125015,1.2977788380109,1.55321515081142,1.45622846861001,2.17102409596298,1.66835483184016,-1.1946101533815,0.281571321266359,0.762481882233393,"Georgetown University",14,"Top",2016
76,4,4.2,3.43,3.82,163,168,67.5,86.2,24,10.4,94.8,1.73068810555632,1.67706395952162,1.0661808031404,1.15127511217712,1.55321515081142,1.45622846861001,1.21385986623128,1.33756905254707,-1.52132142776542,-0.591313000179375,1.0704027573687,"University of Texas - Austin",15,"Top",2016
75,3.9,4.1,3.56,3.9,163,169,59.6,82.2,28,10.2,88.2,1.60236224503559,1.5196769079195,1.65232474622576,1.73729001551224,1.55321515081142,1.65091141895894,0.789051022698671,0.970029297776977,-1.25995240825828,-0.670666120310806,0.257491647011485,"UCLA",16,"Top",2016
74,3.8,4.1,3.45,3.84,162,168,84.4,90.8,35,12.8,100,1.47403638451485,1.5196769079195,1.1563567943843,1.2977788380109,1.37155256007324,1.45622846861001,2.12262815176307,1.76023977053268,-0.802556624120795,0.36092444139779,1.71087817765015,"Vanderbilt University",17,"Other",2016
69,3.5,3.9,3.2,3.76,162,167,53,75.7,30,9.7,94.6,1.08905880295264,1.20490280471527,0.0291569038355291,0.71176393467578,1.37155256007324,1.26154551826108,0.434147431899276,0.37277719627557,-1.12926789850472,-0.869048920639382,1.04576908735788,"Washington University in St. Louis",18,"Other",2016
68,3.5,3.8,3.3,3.85,158,166,67.8,93.5,37,12.2,96.8,1.08905880295264,1.04751575311315,0.480036860055037,1.37103070092779,0.644902197120532,1.06686256791214,1.22999184763125,2.0083291050025,-0.671872114367227,0.122865081003498,1.31673945747695,"Emory University",19,"Other",2016
67,3.4,3.7,3.42,3.85,157,166,70.8,78.5,41,10.1,96.5,0.960732942431908,0.890128701511036,1.02109280751845,1.37103070092779,0.463239606382355,1.06686256791214,1.39131166163098,0.630055024614638,-0.410503094860092,-0.710342680376521,1.27978895246072,"University of Minnesota - Twin Cities",20,"Other",2016
